"gene_id","p_threshold","method","n_snps","beta","se","pvalue","heterogeneity_Q","heterogeneity_Q_df","heterogeneity_Q_pval","heterogeneity_I2"
"ENSG00000196550.11","0.00001","IVW",26,0.322887961720404,0.234468321858045,0.168479176185676,17.3972800161978,0.866882532084823,2.26209222646693e-05,0.950171375566887
"ENSG00000263528.8","0.00001","IVW",24,-0.0141684786845445,0.12951114515247,0.91288548235319,19.2429885285825,0.687034496422648,5.43586050088989e-06,0.964296892065275
"ENSG00000162888.4","0.00001","IVW",23,-0.0565865607637024,0.233372772500368,0.808413793465843,19.1846289780454,0.633901422847231,4.84270271736293e-06,0.966957848203754
"ENSG00000266094.8","0.00001","IVW",23,-0.153563528960083,0.250713458012178,0.540202946013948,18.8682583053341,0.653448905489991,6.05376694963641e-06,0.96536782065861
"ENSG00000143486.16","0.00001","IVW",22,0.355991458113695,0.360371923244153,0.323228761297877,17.511959617647,0.679644435189867,1.34022740057505e-05,0.961189698353062
"ENSG00000237605.3","0.00001","IVW",23,-0.249243126804065,0.227796696981617,0.273890407577333,17.3167206418065,0.745644521153904,1.76456611508406e-05,0.956940777842558
"ENSG00000143479.18","0.00001","IVW",23,-0.377557652287456,0.367702600445142,0.304513852504921,17.4595571053194,0.737507216143262,1.60197624943748e-05,0.957759110858628
"ENSG00000162889.11","0.00001","IVW",21,-0.401228555116819,0.739228175736328,0.587290333959143,15.0735199566419,0.772185432731997,6.24970409342025e-05,0.948772056231514
"ENSG00000224114.1","0.00001","IVW",21,0.0797076934616211,0.165359797721168,0.62978759845221,15.135766920866,0.76858698071592,5.99236276400301e-05,0.949220479891484
"ENSG00000136634.7","0.00001","IVW",21,0.305219359110672,0.225284386406309,0.175475525794733,10.768412333837,0.952008523451456,0.000941179675263398,0.911592489780503
"ENSG00000162894.12","0.00001","IVW",21,0.138071755284825,0.375496394817558,0.713093502998039,5.07565528503538,0.999688359260128,0.0242521259686789,0.803042503259131
"ENSG00000162896.6","0.00001","IVW",21,-0.158012944888027,0.296066103077908,0.593543346350611,4.76733903189061,0.999809004665751,0.0289959883400072,0.790279441428933
"ENSG00000182795.13","0.00001","IVW",22,-0.0162291317275445,0.170805956653635,0.92430289508007,5.16142296699615,0.999828342456037,0.0230876650572605,0.806288237013461
"ENSG00000123836.15","0.00001","IVW",22,0.65042509815109,0.493756589430322,0.187738395419545,3.43517397043511,0.999994818926359,0.0638213895256655,0.708895436582591
"ENSG00000180667.11","0.00001","IVW",22,0.0618828863209691,0.373860202653447,0.868531455558578,5.1430525824284,0.999833287183245,0.023333392760403,0.805595359728725
"ENSG00000275392.1","0.00001","IVW",22,0.168793251495426,0.159844461959969,0.290975361395969,4.05534785768332,0.999977607698222,0.0440301716117709,0.753417550653849
"ENSG00000196352.17","0.00001","IVW",25,0.289858789818499,0.406140329813843,0.475418133201577,13.9344926556623,0.94811608020849,0.00017023077019173,0.931959052716338
"ENSG00000203710.12","0.00001","IVW",24,-0.0352663364932328,0.0961578212137262,0.713801972516566,18.5817218538036,0.725216688703264,8.54375358896172e-06,0.96097150229623
"ENSG00000236948.2","0.00001","IVW",24,-0.0365976721713848,0.252731605356368,0.884862109999268,16.4669818382804,0.834561378304749,3.43962710547179e-05,0.949319104951907
"ENSG00000069424.16","0.00001","IVW",25,-1.3884172583564,0.684207843055739,0.0424345453639897,13.8125650196261,0.950771003836129,0.000182681416439843,0.931166224196216
"ENSG00000131697.18","0.00001","IVW",25,-0.00709651334644726,0.089018940811538,0.936460636907159,17.9239971844479,0.806679637723073,1.48493345446884e-05,0.954994434030429
"ENSG00000116254.18","0.00001","IVW",25,-0.219033432896156,0.521926347506856,0.674731299618817,17.7542348801774,0.814765130036644,1.65672801941482e-05,0.954108688122273
"ENSG00000226944.1","0.00001","IVW",25,0.0392934812965884,0.14234247028666,0.782510513711451,17.8541493345038,0.810025737401819,1.55344715605675e-05,0.954630953162444
"ENSG00000158286.13","0.00001","IVW",25,0.190989053637958,0.504131008546611,0.704800697521091,17.7868264744657,0.813225302063715,1.62233756087576e-05,0.954279348076445
